Date,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
,15:00,USD,1,KC Fed Manufacturing Index (Mar),3,,-9
,15:30,USD,1,4-Week Bill Auction,4.15%,,4.22%
,15:30,USD,1,8-Week Bill Auction,4.40%,,4.45%
,17:00,USD,2,10-Year TIPS Auction,1.18%,,1.22%
,20:30,USD,1,Reserve Balances with Federal Reserve Banks,3.370T,,3.444T
"Friday, March 24, 2023",12:30,USD,2,Core Durable Goods Orders (MoM) (Feb),0.00%,0.20%,0.40%
,12:30,USD,3,Durable Goods Orders (MoM) (Feb),-1.00%,0.60%,-5.00%
,12:30,USD,1,Durables Excluding Defense (MoM) (Feb),-0.50%,,-5.60%
,12:30,USD,1,Goods Orders Non Defense Ex Air (MoM) (Feb),0.20%,0.10%,0.30%
,13:30,USD,2,FOMC Member Bullard Speaks,,,
,13:45,USD,3,S&P Global US Manufacturing PMI (Mar),49.3,47,47.3
,13:45,USD,2,S&P Global Composite PMI (Mar),53.3,47.5,50.1
,13:45,USD,3,S&P Global Services PMI (Mar),53.8,50.5,50.6
,17:00,USD,2,U.S. Baker Hughes Oil Rig Count,593,,589
,17:00,USD,2,U.S. Baker Hughes Total Rig Count,758,,754
,20:30,USD,1,CFTC Aluminium speculative net positions,5.6K,,5.1K
,20:30,USD,1,CFTC Copper speculative net positions,-12.4K,,-7.7K
,20:30,USD,1,CFTC Corn speculative net positions,59.5K,,103.3K
,20:30,USD,2,CFTC Crude Oil speculative net positions,154.3K,,206.9K
,20:30,USD,2,CFTC Gold speculative net positions,158.6K,,98.5K
,20:30,USD,2,CFTC Nasdaq 100 speculative net positions,-5.1K,,-12.4K
,20:30,USD,1,CFTC Natural Gas speculative net positions,-144.7K,,-156.4K
,20:30,USD,2,CFTC S&P 500 speculative net positions,-202.5K,,-209.5K
,20:30,USD,1,CFTC Silver speculative net positions,3.5K,,-7.8K
,20:30,USD,1,CFTC Soybeans speculative net positions,171.8K,,180.2K
,20:30,USD,1,CFTC Wheat speculative net positions,-59.2K,,-73.3K
"Monday, March 27, 2023",14:30,USD,1,Dallas Fed Mfg Business Index (Mar),-15.7,,-13.5
,15:30,USD,1,3-Month Bill Auction,4.68%,,4.68%
,15:30,USD,1,6-Month Bill Auction,4.65%,,4.62%
,17:00,USD,2,2-Year Note Auction,3.95%,,4.67%
,21:00,USD,1,Fed Governor Jefferson Speaks,,,
"Tuesday, March 28, 2023",12:30,USD,2,Goods Trade Balance (Feb),-91.63B,-91.00B,-91.09B
,12:30,USD,2,Retail Inventories Ex Auto (Feb),0.40%,,0.10%
,12:30,USD,1,Wholesale Inventories (MoM),0.20%,0.20%,-0.40%
,12:55,USD,1,Redbook (YoY),2.80%,,3.20%
,13:00,USD,1,House Price Index (YoY) (Jan),5.30%,,6.70%
,13:00,USD,1,House Price Index (MoM) (Jan),0.20%,-0.20%,-0.10%
,13:00,USD,1,House Price Index (Jan),393.2,,392.4
,13:00,USD,1,S&P/CS HPI Composite - 20 s.a. (MoM) (Jan),-0.40%,-0.50%,-0.50%
,13:00,USD,2,S&P/CS HPI Composite - 20 n.s.a. (MoM) (Jan),-0.60%,,-0.90%
,13:00,USD,2,S&P/CS HPI Composite - 20 n.s.a. (YoY) (Jan),2.50%,2.50%,4.60%
,14:00,USD,3,CB Consumer Confidence (Mar),104.2,101,103.4
,14:00,USD,2,Fed Barr Testimony,,,
,14:00,USD,1,Richmond Manufacturing Index,-5,-10,-16
,14:00,USD,1,Richmond Manufacturing Shipments,2,,-15
,14:00,USD,1,Richmond Services Index,-17,,-3
,14:30,USD,1,Dallas Fed Services Revenues,5.5,,6.6
,14:30,USD,1,Texas Services Sector Outlook (Mar),-18,,-9.3
,17:00,USD,2,5-Year Note Auction,3.67%,,4.11%
,18:00,USD,1,M2 Money Supply (MoM) (Feb),21.18T,,21.33T
,20:30,USD,2,API Weekly Crude Oil Stock,-6.076M,0.187M,3.262M
"Wednesday, March 29, 2023",11:00,USD,1,MBA 30-Year Mortgage Rate,6.45%,,6.48%
,11:00,USD,1,MBA Mortgage Applications (WoW),2.90%,,3.00%
,11:00,USD,1,MBA Purchase Index,172.7,,169.3
,11:00,USD,1,Mortgage Market Index,227.3,,221
,11:00,USD,1,Mortgage Refinance Index,504.4,,481.3
,14:00,USD,2,Fed Barr Testimony,,,
,14:00,USD,2,Pending Home Sales (MoM) (Feb),0.80%,-2.30%,8.10%
,14:00,USD,1,Pending Home Sales Index (Feb),83.2,,82.5
,14:30,USD,3,Crude Oil Inventories,-7.489M,0.092M,1.117M
,14:30,USD,1,EIA Refinery Crude Runs (WoW),0.437M,,-0.022M
,14:30,USD,1,Crude Oil Imports,-0.499M,,0.051M
,14:30,USD,2,Cushing Crude Oil Inventories,-1.632M,,-1.063M
,14:30,USD,1,Distillate Fuel Production,0.130M,,0.075M
,14:30,USD,1,EIA Weekly Distillates Stocks,0.281M,-1.455M,-3.313M
,14:30,USD,1,Gasoline Production,0.535M,,0.392M
,14:30,USD,1,Heating Oil Stockpiles,-0.164M,,0.578M
,14:30,USD,1,EIA Weekly Refinery Utilization Rates (WoW),1.70%,0.60%,0.40%
,14:30,USD,1,Gasoline Inventories,-2.904M,-1.617M,-6.400M
,17:00,USD,2,7-Year Note Auction,3.63%,,4.06%
,20:30,USD,2,Fed's Balance Sheet,"8,706B",,"8,734B"
"Thursday, March 30, 2023",12:30,USD,2,Continuing Jobless Claims,"1,689K","1,697K","1,685K"
,12:30,USD,2,Core PCE Prices (Q4),4.40%,4.30%,4.70%
,12:30,USD,1,Corporate Profits (QoQ) (Q4),-2.70%,,0.80%
,12:30,USD,3,GDP (QoQ) (Q4),2.60%,2.70%,3.20%
,12:30,USD,2,GDP Price Index (QoQ) (Q4),3.90%,3.90%,4.40%
,12:30,USD,1,GDP Sales (Q4),1.10%,,4.50%
,12:30,USD,3,Initial Jobless Claims,198K,196K,191K
,12:30,USD,1,Jobless Claims 4-Week Avg.,198.25K,,196.25K
,12:30,USD,1,PCE Prices (Q4),3.70%,,4.30%
,12:30,USD,1,Real Consumer Spending (Q4),1.00%,,2.10%
,14:30,USD,1,Natural Gas Storage,-47B,-54B,-72B
,15:30,USD,1,4-Week Bill Auction,4.60%,,4.15%
,15:30,USD,1,8-Week Bill Auction,4.60%,,4.40%
,16:45,USD,1,FOMC Member Barkin Speaks,,,
,17:00,USD,2,FOMC Member Kashkari Speaks,,,
,19:45,USD,2,Treasury Secretary Yellen Speaks,,,
,20:30,USD,1,Reserve Balances with Federal Reserve Banks,3.401T,,3.370T
