event_name,avg_hour_of_day,avg_day_of_week,avg_day_of_month,April,August,December,February,January,July,June,March,May,November,October,September
Thomson_Reuters_IPSOS_PCSI,15.25,Wednesday,10.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TIC_Net_Long-Term_Transactions,20.333333333333332,Tuesday,16.583333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TIC_Net_Long-Term_Transactions_including_Swaps,20.333333333333332,Tuesday,16.583333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Total_Vehicle_Sales,14.083333333333334,Wednesday,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trade_Balance,12.416666666666666,Wednesday,6.166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Treasury_Secretary_Yellen_Speaks,12.0,Wednesday,20.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
U6_Unemployment_Rate,12.333333333333334,Friday,5.083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Unemployment_Rate,12.333333333333334,Friday,5.083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Unit_Labor_Costs,12.375,Thursday,3.375,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
US_Baker_Hughes_Oil_Rig_Count,17.346153846153847,Friday,15.576923076923077,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
US_Baker_Hughes_Total_Rig_Count,17.346153846153847,Friday,15.576923076923077,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
US_Commercial_Banks_Deposits,20.0,Friday,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
US_Foreign_Buying_T-bonds,20.333333333333332,Tuesday,16.583333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
US_Leading_Index_MoM,14.333333333333334,Thursday,19.583333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
US_President_Biden_Speaks,16.0,Wednesday,19.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WASDE_Report,16.416666666666668,Thursday,10.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wholesale_Inventories_MoM,13.375,Wednesday,18.041666666666668,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Wholesale_Trade_Sales_MoM,14.416666666666666,Wednesday,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
