Event,Time_Delta,Coefficients,Intercept,R_squared,Explained_Variance_Ratio
Core PCE Prices,60,[-0.15168815  0.00072145],-0.03192520596430812,0.09484982475716808,[0.82556785 0.17443215]
Core PPI (MoM),5,[-0.01115808  0.09659859],-0.04166220666444315,0.006896667486249841,[0.82228679 0.17771321]
Core PPI (MoM),15,[0.10434011 0.51462381],-0.14330460074067491,0.11498238378914616,[0.82228679 0.17771321]
Core PPI (MoM),30,[0.01032965 0.36133724],0.06188800579968452,0.06425366771954166,[0.82228679 0.17771321]
Core PPI (MoM),60,[-0.12388927  0.37271586],0.024119480417304492,-0.007206521604509852,[0.82228679 0.17771321]
Core PPI (YoY),5,[-0.0433542  -0.00836325],-0.04166220666444315,-0.0651055156622542,[0.70636959 0.29363041]
Core PPI (YoY),15,[-0.24887368  0.20815671],-0.1433046007406749,-0.00784928186255951,[0.70636959 0.29363041]
Core PPI (YoY),30,[-0.09845563  0.00210607],0.061888005799684544,-0.07071078555694577,[0.70636959 0.29363041]
Core PPI (YoY),60,[ 0.04337659 -0.05826716],0.024119480417304495,0.007627155698102572,[0.70636959 0.29363041]
Core Retail Sales (MoM),5,[ 0.00938215 -0.09701497],0.013557923209082737,-0.04007514501200449,[0.85943075 0.14056925]
Core Retail Sales (MoM),15,[ 0.21173852 -0.8291998 ],-0.052070416366224635,-0.12364095270872477,[0.85943075 0.14056925]
Core Retail Sales (MoM),30,[ 0.04569779 -0.38730053],0.04710237786596933,-0.08080582155869642,[0.85943075 0.14056925]
Core Retail Sales (MoM),60,[ 0.00126882 -0.21325434],0.22383132460377447,-0.014599367946978692,[0.85943075 0.14056925]
Corporate Profits,5,[ 0.00145771 -0.1005199 ],0.0007653996374661429,-7.4820950501273735,[0.85872595 0.14127405]
Corporate Profits,15,[-0.05704786  0.05745181],-0.07068652038949254,-2.176672182693836,[0.85872595 0.14127405]
Corporate Profits,30,[-0.0933035   0.08058288],-0.008787553511600122,-2.0269774302713257,[0.85872595 0.14127405]
Corporate Profits,60,[ 0.00574841 -0.1433759 ],-0.05192777279297545,-3.6064619801995796,[0.85872595 0.14127405]
Durable Goods Orders (MoM),5,[-0.03891296 -0.06923048],0.12217053502266031,-1.9214974121052757,[0.84630712 0.15369288]
Durable Goods Orders (MoM),15,[-0.06338069 -0.08736844],0.14483408992253188,-2.239376468915326,[0.84630712 0.15369288]
Durable Goods Orders (MoM),30,[-0.0844769  -0.05406503],0.21096812126708786,-1.702635156100679,[0.84630712 0.15369288]
Durable Goods Orders (MoM),60,[-0.0647094  -0.02436991],0.06245236723912681,-0.44146650310912294,[0.84630712 0.15369288]
Durables Excluding Defense (MoM),5,[-0.01297499 -0.1422402 ],0.03295478551664924,-2.916175259372985,[0.78192722 0.21807278]
Durables Excluding Defense (MoM),15,[ 0.01018554 -0.14644828],0.08799343533214307,-4.130054319921376,[0.78192722 0.21807278]
Durables Excluding Defense (MoM),30,[-0.02218464 -0.33360844],0.12614106959965166,-4.6103968055049345,[0.78192722 0.21807278]
Durables Excluding Defense (MoM),60,[-0.02826734 -0.29770887],0.09317089826084272,-3.494145760883251,[0.78192722 0.21807278]
Durables Excluding Transport (MoM),5,[0.02675545 0.07570838],-0.05626096398936185,-0.00020403119046208396,[0.83149467 0.16850533]
Durables Excluding Transport (MoM),15,[ 0.0145673  -0.06097449],0.031152780741754236,-0.011809859196969308,[0.83149467 0.16850533]
Durables Excluding Transport (MoM),30,[0.00184874 0.30954431],0.041314017932215404,-0.03042391404052225,[0.83149467 0.16850533]
