Event,Time_Delta,Coefficients,Intercept,R_squared
GDP Price Index,15,[ 0.007408   -0.04467911],-0.05928875061455666,0.02905232246653222
GDP Price Index,30,[-0.02142378 -0.12643776],0.03688919899377396,0.08046184745883644
GDP Price Index,60,[-0.09933542 -0.31912876],-0.03192520596430812,0.2803245125733842
GDP Sales,5,[ 0.00522154 -0.00691446],0.06121939622794392,0.0019219037322553145
GDP Sales,15,[-0.01803066 -0.03466707],-0.05928875061455666,0.031662156626028226
GDP Sales,30,[-0.05663978  0.0195964 ],0.03688919899377395,0.038028485638062715
GDP Sales,60,[-0.01630639 -0.01378858],-0.03192520596430813,0.0019231748038164298
Goods Orders Non Defense Ex Air (MoM),5,[ 0.01770828 -0.03247902],0.12217053502266031,0.024474502578334834
Goods Orders Non Defense Ex Air (MoM),15,[0.03067812 0.01767954],0.14483408992253188,0.024681646610648644
Goods Orders Non Defense Ex Air (MoM),30,[ 0.01695551 -0.01315159],0.21096812126708786,0.005014617914035457
Goods Orders Non Defense Ex Air (MoM),60,[ 0.05760608 -0.01808698],0.06245236723912681,0.026546393669261703
Goods Trade Balance,5,[ 0.0146578  -0.06570963],0.07701228449517403,0.07515186365937354
Goods Trade Balance,15,[ 0.04681967 -0.10101771],-0.02498840866026876,0.142265473148809
Goods Trade Balance,30,[ 0.08811919 -0.09153823],0.048585656253322534,0.10002950219397255
Goods Trade Balance,60,[ 0.15518286 -0.10414369],-0.01031691269660382,0.15321791722637412
Housing Starts,5,[ 0.03101337 -0.03254442],0.050283469431171984,0.05010235413184183
Housing Starts,15,[ 0.04222714 -0.1070279 ],-0.03043822280699755,0.05770634224534221
Housing Starts,30,[ 0.00717996 -0.17022938],-0.03519449537420699,0.052769238210856884
Housing Starts,60,[-0.01592939  0.00424577],-0.0700094679837143,0.0038368061948078624
Housing Starts (MoM),5,[-0.03707964  0.16158064],0.050283469431171984,0.21207433612480642
Housing Starts (MoM),15,[-0.04171868  0.2400198 ],-0.030438222806997556,0.17276782095882603
Housing Starts (MoM),30,[-0.00195033  0.24376993],-0.03519449537420699,0.1321067563973617
Housing Starts (MoM),60,[-0.07207263  0.34566807],-0.0700094679837143,0.2937739625272624
ISM Manufacturing Employment,5,[-0.04452905 -0.01459621],0.013417138546574439,0.07439681304617052
ISM Manufacturing Employment,15,[-0.01673536  0.02761854],-0.04688359145388643,0.022327372949030422
ISM Manufacturing Employment,30,[0.0127242  0.02800579],-0.07947746098336358,0.009338978417166577
ISM Manufacturing Employment,60,[-0.057134   -0.14402024],-0.29211391956107474,0.044927254793357685
ISM Manufacturing New Orders Index,5,[ 0.0752717 -0.0390833],0.013417138546574439,0.24014267806259326
ISM Manufacturing New Orders Index,15,[ 0.06333086 -0.07403455],-0.04688359145388644,0.20922130669814198
ISM Manufacturing New Orders Index,30,[0.09989507 0.0059125 ],-0.07947746098336358,0.11703024436850773
ISM Manufacturing New Orders Index,60,[0.19828119 0.00389372],-0.29211391956107474,0.08785347263389887
ISM Manufacturing PMI,5,[-0.03638677 -0.03912759],0.013417138546574442,0.08420819147533565
ISM Manufacturing PMI,15,[ 0.00675057 -0.02190895],-0.04688359145388643,0.0035770084675146308
ISM Manufacturing PMI,30,[0.00154628 0.04546462],-0.07947746098336358,0.0034784279355278835
ISM Manufacturing PMI,60,[-0.04990211 -0.08604923],-0.29211391956107474,0.011590800971920778
ISM Manufacturing Prices,5,[-0.00983839  0.17518332],0.01341713854657445,0.12491824735181922
ISM Manufacturing Prices,15,[-0.0272763   0.19953416],-0.04688359145388642,0.14168003805468754
ISM Manufacturing Prices,30,[-0.05538028  0.25575549],-0.07947746098336357,0.1459791979339956
ISM Manufacturing Prices,60,[0.0830796  0.83282127],-0.2921139195610747,0.19884838418377093
ISM Non-Manufacturing Business Activity,5,[0.17224275 0.08395453],-0.15749553891078596,0.1623311510936083
ISM Non-Manufacturing Business Activity,15,[ 0.08728602 -0.01375615],-0.10931613130743609,0.0457358829502893
ISM Non-Manufacturing Business Activity,30,[0.23033872 0.03309267],-0.22603634149391238,0.09359943500260703
ISM Non-Manufacturing Business Activity,60,[0.30587193 0.05181558],-0.24417510725404223,0.1422499747163799
ISM Non-Manufacturing Employment,5,[ 0.01138857 -0.06525478],-0.15749553891078596,0.013738929210043382
ISM Non-Manufacturing Employment,15,[-0.03348885 -0.15491146],-0.1093161313074361,0.10489870086182085
ISM Non-Manufacturing Employment,30,[-0.0557188  -0.22891382],-0.2260363414939124,0.06903349200106934
ISM Non-Manufacturing Employment,60,[-0.04454043 -0.31293654],-0.24417510725404226,0.10312457750216075
ISM Non-Manufacturing New Orders,5,[-0.01669992  0.0414261 ],-0.15749553891078596,0.0074426618712166714
ISM Non-Manufacturing New Orders,15,[0.08642188 0.08390251],-0.10931613130743609,0.0840558766417836
ISM Non-Manufacturing New Orders,30,[0.14685337 0.0896662 ],-0.22603634149391238,0.0549896405093665
ISM Non-Manufacturing New Orders,60,[0.1634888  0.11816839],-0.24417510725404223,0.06292151754904018
ISM Non-Manufacturing PMI,5,[0.04001204 0.14254073],-0.15749553891078596,0.024584135342815228
ISM Non-Manufacturing PMI,15,[0.02965341 0.00505821],-0.10931613130743609,0.009492145174776034
ISM Non-Manufacturing PMI,30,[0.02820271 0.03207927],-0.22603634149391238,0.002754320244431674
ISM Non-Manufacturing PMI,60,[ 0.04885715 -0.16798627],-0.24417510725404223,0.011792747148205773
ISM Non-Manufacturing Prices,5,[-0.08274058  0.06432192],-0.15749553891078596,0.04999473652207087
ISM Non-Manufacturing Prices,15,[-0.08146611 -0.08536722],-0.10931613130743609,0.07956603789941419
