Event,Time_Delta,"Coefficients(actual-pre, actual-forec",Intercept,R_squared
GDP Sales,30,[ 0.05390712 -0.02619362],0.03688919899377395,0.038028485638062715
GDP Sales,60,[ 0.00178036 -0.02128036],-0.03192520596430813,0.0019231748038164298
Goods Orders Non Defense Ex Air (MoM),5,[ 0.03548778 -0.01044449],0.12217053502266031,0.02447450257833461
Goods Orders Non Defense Ex Air (MoM),15,[0.00919138 0.03419403],0.14483408992253188,0.024681646610648533
Goods Orders Non Defense Ex Air (MoM),30,[0.02128894 0.00268978],0.21096812126708786,0.005014617914035346
Goods Orders Non Defense Ex Air (MoM),60,[0.05352307 0.02794423],0.06245236723912681,0.026546393669261703
Goods Trade Balance,5,[-0.03609909  0.05682835],0.07701228449517403,0.07515186365937354
Goods Trade Balance,15,[-0.0383238   0.10453682],-0.024988408660268743,0.142265473148809
Goods Trade Balance,30,[-0.00241763  0.12703698],0.048585656253322555,0.10002950219397255
Goods Trade Balance,60,[0.03609014 0.18337156],-0.010316912696603795,0.15321791722637412
Housing Starts,5,[-0.00108262  0.04494214],0.050283469431171984,0.05010235413184183
Housing Starts,15,[-0.04582106  0.10553926],-0.030438222806997553,0.05770634224534221
Housing Starts,30,[-0.11529335  0.12544735],-0.03519449537420699,0.052769238210856995
Housing Starts,60,[-0.00826157 -0.014266  ],-0.0700094679837143,0.0038368061948076404
Housing Starts (MoM),5,[-0.14047403  0.08803551],0.050283469431172,0.21207433612480642
Housing Starts (MoM),15,[-0.19921919  0.14022007],-0.03043822280699753,0.17276782095882603
Housing Starts (MoM),30,[-0.17375046  0.17099228],-0.03519449537420696,0.1321067563973619
Housing Starts (MoM),60,[-0.29538728  0.19346119],-0.07000946798371427,0.2937739625272624
ISM Manufacturing Employment,5,[ 0.04180788 -0.02116571],0.01341713854657444,0.07439681304617052
ISM Manufacturing Employment,15,[-0.00769557 -0.03136294],-0.04688359145388643,0.022327372949030422
ISM Manufacturing Employment,30,[-0.02880046 -0.01080572],-0.07947746098336358,0.009338978417166577
ISM Manufacturing Employment,60,[0.14223753 0.06143785],-0.29211391956107474,0.044927254793357685
ISM Manufacturing New Orders Index,5,[ 0.02558906 -0.0808612 ],0.01341713854657446,0.24014267806259315
ISM Manufacturing New Orders Index,15,[-0.00756865 -0.09713202],-0.04688359145388641,0.20922130669814198
ISM Manufacturing New Orders Index,30,[ 0.07481725 -0.06645572],-0.07947746098336357,0.11703024436850773
ISM Manufacturing New Orders Index,60,[ 0.14295925 -0.1374527 ],-0.2921139195610747,0.08785347263389887
ISM Manufacturing PMI,5,[ 0.05339671 -0.00193805],0.01341713854657444,0.08420819147533565
ISM Manufacturing PMI,15,[ 0.0107186  -0.02026534],-0.04688359145388643,0.0035770084675146308
ISM Manufacturing PMI,30,[-0.03324173  0.03105496],-0.07947746098336358,0.0034784279355278835
ISM Manufacturing PMI,60,[ 0.09613211 -0.02555987],-0.29211391956107474,0.011590800971920778
ISM Manufacturing Prices,5,[-0.11691652  0.13083011],0.01341713854657444,0.12491824735181922
